datetime,site,geometry,SNOWDEPTH,SNOWDEPTH_units,datasource
2019-03-01 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),128,INCHES,CDEC
2019-03-02 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),131,INCHES,CDEC
2019-03-03 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),137,INCHES,CDEC
2019-03-04 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),135,INCHES,CDEC
2019-03-05 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),133,INCHES,CDEC
2019-03-06 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),139,INCHES,CDEC
2019-03-07 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),145,INCHES,CDEC
2019-03-08 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),144,INCHES,CDEC
2019-03-09 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),142,INCHES,CDEC
2019-03-10 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),144,INCHES,CDEC
2019-03-11 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),142,INCHES,CDEC
2019-03-12 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),139,INCHES,CDEC
2019-03-13 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),139,INCHES,CDEC
2019-03-14 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),137,INCHES,CDEC
2019-03-15 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),136,INCHES,CDEC
2019-03-16 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),136,INCHES,CDEC
2019-03-17 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),134,INCHES,CDEC
2019-03-18 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),132,INCHES,CDEC
2019-03-19 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),131,INCHES,CDEC
2019-03-20 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),134,INCHES,CDEC
2019-03-21 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),132,INCHES,CDEC
2019-03-22 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),131,INCHES,CDEC
2019-03-23 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),132,INCHES,CDEC
2019-03-24 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),137,INCHES,CDEC
2019-03-25 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),134,INCHES,CDEC
2019-03-26 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),132,INCHES,CDEC
2019-03-27 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),130,INCHES,CDEC
2019-03-28 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),142,INCHES,CDEC
2019-03-29 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),140,INCHES,CDEC
2019-03-30 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),139,INCHES,CDEC
2019-03-31 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),137,INCHES,CDEC
2019-04-01 08:00:00+00:00,SLI,POINT Z (-119.431881 38.091234 9200),135,INCHES,CDEC
